# vers@gitref	sha256sum	cksum #octets
v1.0	342738cd6e31075faaf90bbfc5f4b28270a2e71ececd62011afcd4503b23b194	1298128142 43300
v1.84	efaa0258ce7b1ce98143b90222d7bcff946f63ab20f0990e4ce1af0ae55be5fe	4246272524 73968
v1.85	235edecabff3d872f8a01b6fa8e4012d59b360c4c8b0a1439f13e0582d922f45	1006972390 74270
v1.87	1e08dfe3c16ccd88b909b568f5dce1558e936fc2e0b7ada7b63aee2a4fd53b5e	1100070227 75431
v1.92	f4d497e8353092879de7f9453eea2944eff132e577d1aa6bd5b43af6d9951778	2673050928 77093
v2.00	265efa21b350996d5dc67fbee0c3c92f55e4d8dd22ed9828634964bd2d0501dd	4042445164 77620
v2.03	4e130c9406f4cf1943b7731d8d7b276009f7050147ae77f4bdb54fe614ef7fe1	1652617783 80255
v2.09	61d77e8d33915ac4026033091600628991463b55aadf367d8408efb933d4d613	2578987232 84767
v2.10	d46df3c9bdc44d3937660770fc2c289d5b5950a84ab5e72c370a8d3f2ea72afa	3235659078 85116
v2.11	207af7378c990dd7c7670bf63d451eff058627c38788bbe5bc36c9997e9a1f4b	118512755 85297
v2.12	9f17dc25b0399b86bdc8a57941e9623aa712af674e806efec75a8c96b7f8963a	76495664 85400
v2.13	bb5d57808f33d959e426d9263509969a5a7131e50451f87c7f53ae18c389e912	1987028142 85481
v2.14	9a900bd23f717c15393fae277fb3867d25f14487b337151b6cc99783dbfa4f12	3502431209 97673
v2.16	852a4fda7492014f351c506d9a245741a8f48aff9e106a78ae3fd54b262f0e7f	2440520339 99004
v2.17	ab082e306a7b4fd6b493a2a5fb757dc9aebef63ce0c67f47b502fda1bc62f5c4	2654028945 101406
v2.18	507f03e3d68827c046f87abe08c614a63428f7636ff38463e0f62b379529a779	1506669166 103325
v2.19	8856e6fe7146419c1a53da0d59b87b2c973717b0110078c7c9250aa04a306c62	762083183 103401
v2.20	545d2a818c509c8e0a40b7a2761823c82527034c91233295482f12f0be83ad90	1701777419 104006
v2.21	bbc4240f9f3dcd3dce3a69e3980a5ae49572c4d017d8ac36712c7d5c4e15404f	3796053050 106784
v2.22	7e73e54b11c131e805c6e55b05605d09c4808df37203cc946617c1dda03f83a7	4163280293 107333
v2.24	df1ffdcfa8034a422d5289c959f185638a1907d2b9eefc771196416d182b6ac9	2420335029 108669
v2.26	d04b597e97506a9145a3c5c4f24502a2f9deff601adaf2df344c49d68f218b6e	224152343 108785
v2.27	140615fca20e66a985db9e34b517cfb644713eb35e131e250a157ab55a4fd842	2343364619 109164
v2.28	61833590bcf7948f1df29c5bbf19c4ea000c81cabc9aeb82a5192ca4dc594139	1175685050 110776
v2.29@2.29	140af06cea87f0e1932115753d029a41602886cdc8238c3c37875bd6c3855e74	3835215315 110967
v2.30	b17134a41c92c89ee645ccafcd54a1752cfdaa7e01b1ffed0c14bc6d6a4bbd42	673895873 112739
v2.31	3bd2216ca6080690151ff1a5688416cc714b4a5815a4bb4e28f8d8cead83a815	3219258588 117106
v2.32	8faf6caca9771d072b98364af6cad9eab7fdf7604eca22da4ef88da338f8caba	3856212121 118318
v2.33	a70cf78e830ef8bf8db4cb5ffebb81cd45810bcaee2b690a5a17eff5f2eb8041	2610311015 118387
v2.34	a36a7fde26c3b33239a8569fc457d964b4d5d711945d5cdedaf233cb2730b182	305285124 120733
v2.35	9e464afec7e8ad26e1972f8c3ca065562da14dbe610b7c7ae202a5e0068bd4f9	4024741063 126153
v2.36	59971ee59a0a7f2fc9c70fde3a3d28c906f3169564492cc956b9524486096917	838014400 128012
v2.37	88599f317e6e1e769167574333e10da779c951d5058d5d0abb2874ffdea345e1	3254399720 130495
v2.38	87ed46d99542459ca88f5847e5d34d36d48b2c69d4a424297e2099860f17b1ca	18736094 130524
v2.39	893588c9f1e7cc154f47cf72283ebd752f7c4c9dabc7e045a53994680236284c	634390958 132305
v2.40	05ef3388328d5e8d9a45c5ff85e44da506d8552c63ca5d250e54d863e4473878	4129772745 132428
v2.41	a3c1af7aa351f2631bedc8e1f8b60e0f54b4dc5725194e7ec7ff4749bb320108	105953090 133560
v2.42	490f71a658c9410d889953bf996f1eb4c30770c7a34c88608a65a644e63acce6	636431985 138243
v2.43	733b37ce7b72aea795d5d84bc190e23b6e3179c5d7d92bd4cc04c34cc0d407e1	1736295700 135937
v2.44	ff9e3653f193510b82e429eab3d6ddb945c19586a743c6880efe6702049e5deb	2752479244 137386
v2.45	2f1e82576aa32d8257d602a53d5738adaa10481d4367e3ef8f72feea0e745853	357935678 138012
v2.46	1d05824bed32b5b1d5bdc546b338abf1ed2a48d0c8c6f903cc15883b2412614d	2984206281 140937
v2.48	bf5186c769887384eedee3ec3bbdd1a0f2587015e681f47d850970ffffa8c984	506612158 144472
v2.49	79330698c5f4136678e1e101e38775196cf27868443c9743fd53926ddbf0726e	2918482829 144787
